category,city,resources/contact,resources/descriptionandorserviceprovided,resources/nameoftheorganisation,resources/phonenumber,resources/state
CoVID-19 Testing Lab,Port Blair,http://rmrc.res.in/,Government approved and supported Testing labs by ICMR,Regional Medical Research Centre (ICMR),"3192251158,
3192251159",Andaman & Nicobar
CoVID-19 Testing Lab,Kakinada,https://web.archive.org/web/20190103062219/http://rmckakinada.com/,Government Approved and Supported Testing Lab by ICMR,Rangaraya Medical College,8842363401,Andhra Pradesh
Free Food,Vijayawada,http://amruthahastam.org,"We are providing free food service to the needy from more than 2 years, now during lockdown we are distributing more than 10000 people daily during lockdown",Amrutha Hastam Charitable Trust,9246472100,Andhra Pradesh
CoVID-19 Testing Lab,Vijayawada,http://ssmctumkur.org/,Government Approved and Supported Testing Lab by ICMR,Sidhartha Medical College,8662450390,Andhra Pradesh
Fundraisers,Visakhapatnam,http://www.irdwsi.in,Volunteers and Staff to engage in awareness building and relief work,The Integrated Rural Development of Weaker Sections in India,9849120377,Andhra Pradesh
Hospitals and Centers,Kurnool,http://gghknl.com,Covid-19 treatment.,Govt General Hospital Kurnool,8518255422,Andhra Pradesh
"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Tirupati,https://tirupati.cdma.ap.gov.in,"It consist of list of vendors,providing home delivery",Tirupati municipal Corporation,9849983062,Andhra Pradesh
Hospitals and Centers,Kadapa,http://rimskadapa.in/contact-us.html,Covid-19 testing approved by govt. and isolation wards,Rajiv Gandhi institute of medical science,8562220200,Andhra Pradesh
Hospitals and Centers,Visakhapatnam,https://mediniz.com/list/hivhelp/center/government-tb-and-chest-hospital-visakhapatnam,Covid 19 isolation wards and treatment,government TB & chest hospitals,8912552525,Andhra Pradesh
"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Tirupati,https://vrdeliver.in/,Delivery of fruits and vegetables,VR Deliver,9553733334,Andhra Pradesh
"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Vijayawada,https://www.getgroceries.in,Providing free Groceries & food to needy people.,Sagar Software Solutions,9396455666,Andhra Pradesh
CoVID-19 Testing Lab,Dibrugarh,http://rmrcne.org.in/,Government approved and supported Testing labs by ICMR,"Regional Medical Research Center, NE Region",3732381548,Assam
CoVID-19 Testing Lab,Guwahati,http://www.gmchassam.gov.in/,Government approved and supported testing lab by ICMR,Gauhati Medical College,3612132751,Assam
Free Food,Guwahati,https://ayang.org.in,"Preparation and distribution of kits containing Rice, Daal, Oil, Chira, Salt, Soyabean and Soap through a planned mechanism to slum pockets of Guwahati. They have Assam police as one of their major stakeholders.",Ayang Trust - Rituparna Neog,8723034337,Assam
CoVID-19 Testing Lab,Jorhat,https://jorhatmedicalcollege.in/jmch/,Government approved and supported Testing Lab by ICMR,Jorhat Medical College,3762370107,Assam
CoVID-19 Testing Lab,Silchar,http://smcassam.gov.in/,Government approved and supported Testing labs by ICMR,Silchar Medical College,3842229110,Assam
Free Food,Guwahati,http://www.uciofficial.org/?fbclid=IwAR0DQGpRkuPmbxKI3TgEnSzvS8_1-BnA1S6J5deDBuT4XWFERr2Rh5HFcgI,"The Funds will be used to provide groceries to the daily wagers, providing two time meal to the homeless people. We have been trying to deliver the basic needs to the people(Including Sanitizers and Masks) and feeding the Homeless and Stray Animals in Tezpur, Assam.* If you cannot step out of home and need any essential commodity, contact them.",The UnCivilised Indian in collaboration with Love and Acceptance NGO,9126446620,Assam
CoVID-19 Testing Lab,Tezpur,http://tmcassam.org/about_hospital.php,Hospital and CoVID-19 testing available,TEZPUR MEDICAL COLLEGE & HOSPITAL,18003456767,Assam
Police,Biswanath,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3715222012,
8135837614",Assam
Police,Bongaigaon,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"9435736111,
8638480652",Assam
Police,Barpeta,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,6026704630,Assam
Police,Baksa,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3624295552,
8724846530",Assam
Police,Cachar,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3842246892,
7086021473",Assam
Police,Charaideo,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3772256045,
9678921813",Assam
Police,Chirang,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3664243201,
9401347035",Assam
Police,Dhubri,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3662232180,
8486038342",Assam
Police,Dibrugarh,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3732329655,
6002075019",Assam
Police,Dima Hasao,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,8638389873,Assam
Police,Darrang,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3713222213,
8876603074",Assam
Police,Dhemaji,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"9859916060,
8876444412",Assam
Police,Goalpara,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,9435721514,Assam
Police,Golaghat,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,8134820114,Assam
Police,Guwahati City,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3612464557,
9127801077,
9127801078,
100",Assam
Police,Hamren,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"9401321286,
8474834510",Assam
Police,Hailakandi,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3844222254,
9864609954",Assam
Police,Hojai,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3674284172,
6000924750",Assam
Police,Jorhat,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,3762320018,Assam
Police,Karbi Anglong,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3671272594,
9365972436",Assam
Police,Karimganj,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3843266101,
9954399885",Assam
Police,Kamrup,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3612684402,
7578982561",Assam
Police,Kokrajhar,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"8811029100,
8486356200",Assam
